"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 23 00:05:36 GMT 2022","Wed Nov 23 00:05:36 GMT 2022","474","tests","test_login","TestAuthorizationClass","","","Standart_user login",""
"passed","Wed Nov 23 00:06:00 GMT 2022","Wed Nov 23 00:06:00 GMT 2022","625","tests.test_cart","test_sorting","TestCartClass","","","Sort products Z-A",""
"passed","Wed Nov 23 00:05:58 GMT 2022","Wed Nov 23 00:05:59 GMT 2022","599","tests.test_cart","test_sorting","TestCartClass","","","Sort products A-Z",""
"passed","Wed Nov 23 00:05:50 GMT 2022","Wed Nov 23 00:05:51 GMT 2022","628","tests.test_cart","test_inventory","TestCartClass","","","Button text after remove",""
"passed","Wed Nov 23 00:05:37 GMT 2022","Wed Nov 23 00:05:38 GMT 2022","412","tests","test_login","TestAuthorizationClass","","","Standart_user login",""
"passed","Wed Nov 23 00:05:21 GMT 2022","Wed Nov 23 00:05:21 GMT 2022","444","tests","test_login","TestAuthorizationClass","","","Positive login",""
"passed","Wed Nov 23 00:06:03 GMT 2022","Wed Nov 23 00:06:03 GMT 2022","654","tests.test_cart","test_sorting","TestCartClass","","","Sort products DESC price",""
"passed","Wed Nov 23 00:05:44 GMT 2022","Wed Nov 23 00:05:45 GMT 2022","1143","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step",""
"passed","Wed Nov 23 00:05:19 GMT 2022","Wed Nov 23 00:05:20 GMT 2022","521","tests","test_login","TestAuthorizationClass","","","Positive login",""
"passed","Wed Nov 23 00:05:42 GMT 2022","Wed Nov 23 00:05:43 GMT 2022","1205","tests.test_cart","test_checkout","TestCheckoutClass","","","Successfully purchase",""
"passed","Wed Nov 23 00:05:46 GMT 2022","Wed Nov 23 00:05:48 GMT 2022","1144","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step ZIP missed",""
"passed","Wed Nov 23 00:05:52 GMT 2022","Wed Nov 23 00:05:57 GMT 2022","5693","tests.test_cart","test_inventory","TestCartClass","","","Remove from cart",""
"passed","Wed Nov 23 00:05:40 GMT 2022","Wed Nov 23 00:05:41 GMT 2022","1131","tests","test_login","TestAuthorizationClass","","","Logout standart",""
"passed","Wed Nov 23 00:05:48 GMT 2022","Wed Nov 23 00:05:49 GMT 2022","595","tests.test_cart","test_inventory","TestCartClass","","","Bage change when adding",""
"passed","Wed Nov 23 00:06:01 GMT 2022","Wed Nov 23 00:06:02 GMT 2022","625","tests.test_cart","test_sorting","TestCartClass","","","Sort products ASC price",""
"skipped","Wed Nov 23 00:05:29 GMT 2022","Wed Nov 23 00:05:34 GMT 2022","5463","tests","test_login","TestAuthorizationClass","","","Negative login",""
"passed","Wed Nov 23 00:05:39 GMT 2022","Wed Nov 23 00:05:39 GMT 2022","391","tests","test_login","TestAuthorizationClass","","","Standart_user login",""
"passed","Wed Nov 23 00:05:22 GMT 2022","Wed Nov 23 00:05:28 GMT 2022","5472","tests","test_login","TestAuthorizationClass","","","Positive login",""
