"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jan 28 00:11:03 GMT 2023","Sat Jan 28 00:11:08 GMT 2023","5067","tests","test_login_logout","TestLoginPage","","","test_logout",""
"skipped","Sat Jan 28 00:11:02 GMT 2023","Sat Jan 28 00:11:07 GMT 2023","5025","tests","test_login_logout","TestLoginPage","","","test_login",""
"passed","Sat Jan 28 00:10:56 GMT 2023","Sat Jan 28 00:10:56 GMT 2023","176","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_sorting_Z_to_A",""
"passed","Sat Jan 28 00:10:57 GMT 2023","Sat Jan 28 00:10:57 GMT 2023","153","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_low_to_high",""
"passed","Sat Jan 28 00:11:10 GMT 2023","Sat Jan 28 00:11:10 GMT 2023","124","tests","test_shopping_cart_page","TestShoppingCart","","","test_cart_item_desc_verification",""
"passed","Sat Jan 28 00:10:51 GMT 2023","Sat Jan 28 00:10:51 GMT 2023","306","tests","test_inventory_page","TestInventory","","","test_add_button_changed_to_remove",""
"broken","Sat Jan 28 00:11:12 GMT 2023","Sat Jan 28 00:11:17 GMT 2023","5018","tests","test_shopping_cart_page","TestShoppingCart","","","test_checkout_button",""
"passed","Sat Jan 28 00:11:00 GMT 2023","Sat Jan 28 00:11:00 GMT 2023","132","tests","test_inventory_page","TestInventory","","","test_verification_desc",""
"passed","Sat Jan 28 00:10:51 GMT 2023","Sat Jan 28 00:10:51 GMT 2023","777","tests","test_e2e","TestLoginPage","","","test_e2e",""
"passed","Sat Jan 28 00:10:58 GMT 2023","Sat Jan 28 00:10:58 GMT 2023","144","tests","test_inventory_page","TestInventory","","","test_sorting_inventory_high_to_low",""
"broken","Sat Jan 28 00:11:19 GMT 2023","Sat Jan 28 00:11:24 GMT 2023","5024","tests","test_shopping_cart_page","TestShoppingCart","","","test_complete_check_out",""
"passed","Sat Jan 28 00:10:55 GMT 2023","Sat Jan 28 00:10:55 GMT 2023","108","tests","test_inventory_page","TestInventory","","","Successfully purchase",""
"passed","Sat Jan 28 00:11:12 GMT 2023","Sat Jan 28 00:11:13 GMT 2023","340","tests","test_shopping_cart_page","TestShoppingCart","","","test_customer_information",""
"passed","Sat Jan 28 00:10:53 GMT 2023","Sat Jan 28 00:10:53 GMT 2023","103","tests","test_inventory_page","TestInventory","","","test_remove_items_from_cart",""
