"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 01:27:22 GMT 2022","Tue Nov 29 01:27:23 GMT 2022","741","tests.test_cart","test_sorting","TestCartClass","","","Sort products Z-A",""
"skipped","Tue Nov 29 01:26:50 GMT 2022","Tue Nov 29 01:26:51 GMT 2022","248","api","test_pet","TestPetAPi","","","test_upload_img",""
"passed","Tue Nov 29 01:26:51 GMT 2022","Tue Nov 29 01:26:51 GMT 2022","281","api","test_schema","TestValidateAPi","","","test_get_inventory",""
"passed","Tue Nov 29 01:26:51 GMT 2022","Tue Nov 29 01:26:51 GMT 2022","242","api","test_pet","TestStoreAPi","","","test_add_new_pet",""
"passed","Tue Nov 29 01:27:09 GMT 2022","Tue Nov 29 01:27:09 GMT 2022","495","tests","test_login","TestAuthorizationClass","","","Login without user_name impossible",""
"passed","Tue Nov 29 01:26:50 GMT 2022","Tue Nov 29 01:26:50 GMT 2022","241","api","test_pet","TestUserAPi","","","test_logout_user",""
"failed","Tue Nov 29 01:27:25 GMT 2022","Tue Nov 29 01:27:31 GMT 2022","6263","tests.test_cart","test_inventory","TestCartClass","","","test_go_to_facebook",""
"failed","Tue Nov 29 01:27:11 GMT 2022","Tue Nov 29 01:27:18 GMT 2022","6559","tests","test_login","TestAuthorizationClass","","","Purpose to fail case",""
"passed","Tue Nov 29 01:27:10 GMT 2022","Tue Nov 29 01:27:12 GMT 2022","1909","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step",""
"passed","Tue Nov 29 01:27:05 GMT 2022","Tue Nov 29 01:27:05 GMT 2022","564","tests","test_login","TestAuthorizationClass","","","Login without password impossible",""
"passed","Tue Nov 29 01:26:50 GMT 2022","Tue Nov 29 01:26:50 GMT 2022","248","api","test_pet","TestPetAPi","","","test_find_status[sold]",""
"passed","Tue Nov 29 01:27:15 GMT 2022","Tue Nov 29 01:27:17 GMT 2022","1207","tests.test_cart","test_inventory","TestCartClass","","","Button text after remove",""
"passed","Tue Nov 29 01:27:27 GMT 2022","Tue Nov 29 01:27:27 GMT 2022","728","tests.test_cart","test_sorting","TestCartClass","","","Sort products DESC price",""
"passed","Tue Nov 29 01:26:50 GMT 2022","Tue Nov 29 01:26:50 GMT 2022","300","api","test_pet","TestPetAPi","","","test_find_status[pending]",""
"passed","Tue Nov 29 01:26:51 GMT 2022","Tue Nov 29 01:26:52 GMT 2022","253","api","test_pet","TestPetAPi","","","test_update_existing_pet",""
"passed","Tue Nov 29 01:27:20 GMT 2022","Tue Nov 29 01:27:21 GMT 2022","715","tests.test_cart","test_sorting","TestCartClass","","","Sort products A-Z",""
"failed","Tue Nov 29 01:26:51 GMT 2022","Tue Nov 29 01:26:51 GMT 2022","282","api","test_pet","TestPetAPi","","","test_find_by_id[12546456]",""
"passed","Tue Nov 29 01:26:49 GMT 2022","Tue Nov 29 01:26:50 GMT 2022","338","api","test_pet","TestPetAPi","","","test_find_status[available]",""
"skipped","Tue Nov 29 01:26:58 GMT 2022","Tue Nov 29 01:27:04 GMT 2022","5853","tests","test_login","TestAuthorizationClass","","","Lockout login",""
"passed","Tue Nov 29 01:26:50 GMT 2022","Tue Nov 29 01:26:50 GMT 2022","321","api","test_pet","TestUserAPi","","","test_update_user",""
"passed","Tue Nov 29 01:26:50 GMT 2022","Tue Nov 29 01:26:51 GMT 2022","258","api","test_pet","TestPetAPi","","","test_add_new_pet",""
"passed","Tue Nov 29 01:26:51 GMT 2022","Tue Nov 29 01:26:51 GMT 2022","255","api","test_pet","TestPetAPi","","","test_find_by_id[8]",""
"passed","Tue Nov 29 01:26:51 GMT 2022","Tue Nov 29 01:26:51 GMT 2022","301","api","test_pet","TestPetAPi","","","test_find_by_id[10]",""
"passed","Tue Nov 29 01:26:58 GMT 2022","Tue Nov 29 01:26:59 GMT 2022","978","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Tue Nov 29 01:26:49 GMT 2022","Tue Nov 29 01:26:49 GMT 2022","314","api","test_pet","TestUserAPi","","","test_delete_user",""
"passed","Tue Nov 29 01:26:49 GMT 2022","Tue Nov 29 01:26:50 GMT 2022","295","api","test_pet","TestUserAPi","","","test_login_user",""
"passed","Tue Nov 29 01:27:07 GMT 2022","Tue Nov 29 01:27:09 GMT 2022","1770","tests.test_cart","test_checkout","TestCheckoutClass","","","Successfully purchase",""
"passed","Tue Nov 29 01:27:00 GMT 2022","Tue Nov 29 01:27:00 GMT 2022","492","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Tue Nov 29 01:27:19 GMT 2022","Tue Nov 29 01:27:19 GMT 2022","680","tests.test_cart","test_inventory","TestCartClass","","","Bage change when adding",""
"passed","Tue Nov 29 01:27:24 GMT 2022","Tue Nov 29 01:27:25 GMT 2022","857","tests.test_cart","test_sorting","TestCartClass","","","Sort products ASC price",""
"passed","Tue Nov 29 01:26:49 GMT 2022","Tue Nov 29 01:26:49 GMT 2022","326","api","test_pet","TestUserAPi","","","test_create_new_user",""
"passed","Tue Nov 29 01:27:02 GMT 2022","Tue Nov 29 01:27:07 GMT 2022","5596","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Tue Nov 29 01:27:13 GMT 2022","Tue Nov 29 01:27:14 GMT 2022","1372","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step ZIP missed",""
