"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 05 13:56:07 GMT 2022","Mon Dec 05 13:56:13 GMT 2022","6179","tests.test_cart","test_inventory","TestCartClass","","","test_go_to_facebook",""
"passed","Mon Dec 05 13:56:03 GMT 2022","Mon Dec 05 13:56:04 GMT 2022","988","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step ZIP missed",""
"failed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","429","api","test_words","TestWordsAPI","","","test_get_chunk_of_words",""
"failed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","406","api","test_words","TestWordsAPI","","","test_get_word_with_assets_by_id",""
"passed","Mon Dec 05 13:56:14 GMT 2022","Mon Dec 05 13:56:15 GMT 2022","819","tests.test_cart","test_sorting","TestCartClass","","","Sort products Z-A",""
"passed","Mon Dec 05 13:55:49 GMT 2022","Mon Dec 05 13:55:50 GMT 2022","919","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","425","api","test_schema","TestValidateAPi","","","test_get_inventory",""
"skipped","Mon Dec 05 13:55:56 GMT 2022","Mon Dec 05 13:56:01 GMT 2022","5358","tests","test_login","TestAuthorizationClass","","","Lockout login",""
"passed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","111","api","test_pet","TestPetAPi","","","test_delete_pet",""
"broken","Mon Dec 05 13:55:47 GMT 2022","Mon Dec 05 13:55:47 GMT 2022","0","api.RS-Lang","test_api","TestAPI","","","test_create_user_new1",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","126","api","test_pet","TestUserAPi","","","test_logout_user",""
"passed","Mon Dec 05 13:56:06 GMT 2022","Mon Dec 05 13:56:12 GMT 2022","5546","tests.test_cart","test_inventory","TestCartClass","","","Remove from cart",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","121","api","test_pet","TestPetAPi","","","test_find_by_id[10]",""
"passed","Mon Dec 05 13:56:02 GMT 2022","Mon Dec 05 13:56:02 GMT 2022","293","tests","test_login","TestAuthorizationClass","","","Login without password impossible",""
"passed","Mon Dec 05 13:56:13 GMT 2022","Mon Dec 05 13:56:13 GMT 2022","515","tests.test_cart","test_sorting","TestCartClass","","","Sort products A-Z",""
"passed","Mon Dec 05 13:56:14 GMT 2022","Mon Dec 05 13:56:15 GMT 2022","835","tests.test_cart","test_sorting","TestCartClass","","","Sort products ASC price",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","129","api","test_pet","TestPetAPi","","","test_find_status[sold]",""
"passed","Mon Dec 05 13:56:03 GMT 2022","Mon Dec 05 13:56:04 GMT 2022","932","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","121","api","test_pet","TestUserAPi","","","test_delete_user",""
"passed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","109","api","test_pet","TestPetAPi","","","test_update_existing_pet",""
"passed","Mon Dec 05 13:55:44 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","141","api","test_pet","TestPetAPi","","","test_find_status[available]",""
"failed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","421","api","test_pet","TestPetAPi","","","test_find_by_id[8]",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","121","api","test_pet","TestUserAPi","","","test_create_new_user",""
"passed","Mon Dec 05 13:55:51 GMT 2022","Mon Dec 05 13:55:51 GMT 2022","436","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","126","api","test_pet","TestUserAPi","","","test_login_user",""
"failed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:47 GMT 2022","373","api.RS-Lang","test_api","TestAPI","","","test_sign_in",""
"passed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","121","api","test_pet","TestStoreAPi","","","test_add_new_pet",""
"skipped","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","107","api","test_pet","TestPetAPi","","","test_upload_img",""
"passed","Mon Dec 05 13:56:16 GMT 2022","Mon Dec 05 13:56:16 GMT 2022","503","tests.test_cart","test_sorting","TestCartClass","","","Sort products DESC price",""
"passed","Mon Dec 05 13:55:52 GMT 2022","Mon Dec 05 13:55:53 GMT 2022","350","tests","test_login","TestAuthorizationClass","","","Login without user_name impossible",""
"failed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:46 GMT 2022","131","api","test_pet","TestPetAPi","","","test_find_by_id[12546456]",""
"passed","Mon Dec 05 13:56:01 GMT 2022","Mon Dec 05 13:56:02 GMT 2022","1007","tests.test_cart","test_checkout","TestCheckoutClass","","","Successfully purchase",""
"passed","Mon Dec 05 13:56:05 GMT 2022","Mon Dec 05 13:56:06 GMT 2022","473","tests.test_cart","test_inventory","TestCartClass","","","Button text after remove",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","111","api","test_pet","TestUserAPi","","","test_update_user",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","134","api","test_pet","TestPetAPi","","","test_find_status[pending]",""
"passed","Mon Dec 05 13:56:05 GMT 2022","Mon Dec 05 13:56:05 GMT 2022","487","tests.test_cart","test_inventory","TestCartClass","","","Bage change when adding",""
"failed","Mon Dec 05 13:55:54 GMT 2022","Mon Dec 05 13:56:00 GMT 2022","6107","tests","test_login","TestAuthorizationClass","","","Purpose to fail case",""
"passed","Mon Dec 05 13:55:46 GMT 2022","Mon Dec 05 13:55:47 GMT 2022","129","api","test_words","","","","test_new",""
"passed","Mon Dec 05 13:55:49 GMT 2022","Mon Dec 05 13:55:55 GMT 2022","5844","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Mon Dec 05 13:55:45 GMT 2022","Mon Dec 05 13:55:45 GMT 2022","107","api","test_pet","TestPetAPi","","","test_add_new_pet",""
